상가업소번호|상호명|지점명|상권업종대분류코드|상권업종대분류명|상권업종중분류코드|상권업종중분류명|상권업종소분류코드|상권업종소분류명|표준산업분류코드|표준산업분류명|시도코드|시도명|시군구코드|시군구명|행정동코드|행정동명|법정동코드|법정동명|지번코드|대지구분코드|대지구분명|지번본번지|지번부번지|지번주소|도로명코드|도로명|건물본번지|건물부번지|건물관리번호|건물명|도로명주소|구우편번호|신우편번호|동정보|층정보|호정보|경도|위도
25309436|실버텔인수목적||L|부동산|L01|부동산중개|L01A01|부동산중개|L68221|부동산 자문 및 중개업|11|서울특별시|11110|종로구|1111053000|사직동|1111012000|신문로1가|1111012000202260000|1|대지|226||서울특별시 종로구 신문로1가 226|111103005004|서울특별시 종로구 새문안로|68||1111012000102260000000001|흥국생명빌딩|서울특별시 종로구 새문안로 68|110786|03184||3||126.972119281815|37.5696359955689
25273169|쿠키수학||R|학문/교육|R09|학원기타|R09A11|학원-기타|P85699|그외 기타 분류안된 교육기관|11|서울특별시|11740|강동구|1174068500|길동|1174010500|길동|1174068500203840005|1|대지|384|5|서울특별시 강동구 길동 384-5|117403124007|서울특별시 강동구 성안로|170||1174010500103840005003511|에이치비골드빌|서울특별시 강동구 성안로 170|134813|05354|103|2||127.136059802881|37.5380430966542
25224196|태양탕이용원||F|생활서비스|F01|이/미용/건강|F01A04|남성미용실|S96111|이용업|11|서울특별시|11470|양천구|1147056000|신월1동|1147010300|신월동|1147010300201210019|1|대지|121|19|서울특별시 양천구 신월동 121-19|114703005063|서울특별시 양천구 곰달래로|33||1147010300101210019015161||서울특별시 양천구 곰달래로 33|158090|07923||1||126.836362419718|37.5300909961748
25224286|엘리트고시원||R|학문/교육|R10|도서관/독서실|R10A02|고시원|R90212|독서실 운영업|11|서울특별시|11500|강서구|1150059100|화곡6동|1150010300|화곡동|1150010300209870006|1|대지|987|6|서울특별시 강서구 화곡동 987-6|115003005069|서울특별시 강서구 화곡로|291||1150010300109870006016038|서울한의원|서울특별시 강서구 화곡로 291|157010|07687||3||126.848165469689|37.5505160447738
25243848|흄||D|소매|D05|의복의류|D05A02|캐쥬얼/스포츠의류|G47416|셔츠 및 기타 의복 소매업|11|서울특별시|11620|관악구|1162059500|청룡동|1162010100|봉천동|1162010100208620001|1|대지|862|1|서울특별시 관악구 봉천동 862-1|116202000003|서울특별시 관악구 남부순환로|1820||1162010100108620018040811|에그엘로우|서울특별시 관악구 남부순환로 1820|151050|08787||2||126.952067736166|37.4809409770823
25261424|부산양곱창1호||Q|음식|Q01|한식|Q01A03|곱창/양구이전문|I56111|한식 음식점업|26|부산광역시|26230|부산진구|2623052000|부전2동|2623010300|부전동|2623010300205200002|1|대지|520|2|부산광역시 부산진구 부전동 520-2|262304187070|부산광역시 부산진구 가야대로784번길|62||2623010300105200002041414||부산광역시 부산진구 가야대로784번길 62|614030|47287||1||129.057003857985|35.1547587472594
25489806|가온누리||D|소매|D03|종합소매점|D03A05|수입품판매점|G47190|그외 기타 종합 소매업|11|서울특별시|11740|강동구|1174057000|암사1동|1174010700|암사동|1174010700204640001|1|대지|464|1|서울특별시 강동구 암사동 464-1|117404172005|서울특별시 강동구 고덕로10길|47||1174010700104640001017159||서울특별시 강동구 고덕로10길 47|134050|05251||1||127.129690450051|37.5525393520806
25490278|해오름||L|부동산|L01|부동산중개|L01A01|부동산중개|L68221|부동산 자문 및 중개업|11|서울특별시|11680|강남구|1168063000|대치4동|1168010600|대치동|1168010600209170000|1|대지|917||서울특별시 강남구 대치동 917|116804166491|서울특별시 강남구 선릉로72길|42||1168010600109170000013307||서울특별시 강남구 선릉로72길 42|135280|06200||1||127.054582502964|37.5009081983569
25351160|소리울||Q|음식|Q09|유흥주점|Q09A07|기타일반유흥주점|I56211|일반유흥 주점업|11|서울특별시|11230|동대문구|1123071000|회기동|1123010800|회기동|1123010800200600046|1|대지|60|46|서울특별시 동대문구 회기동 60-46|112304115019|서울특별시 동대문구 경희대로1길|7||1123010800100600046010679||서울특별시 동대문구 경희대로1길 7|130872|02454||1||127.051681256187|37.5916026200178
25382288|두리잡||F|생활서비스|F05|인력/고용/용역알선|F05A02|인력공급/고용알선|||11|서울특별시|11740|강동구|1174065000|성내2동|1174010800|성내동|1174010800201630016|1|대지|163|16|서울특별시 강동구 성내동 163-16|117402000008|서울특별시 강동구 천호대로|1082||1174010800101630016005174|경남빌딩|서울특별시 강동구 천호대로 1082|134030|05380||5||127.131719380164|37.535686537471
25382793|스텝스||F|생활서비스|F05|인력/고용/용역알선|F05A02|인력공급/고용알선|||11|서울특별시|11740|강동구|1174065000|성내2동|1174010800|성내동|1174010800201960003|1|대지|196|3|서울특별시 강동구 성내동 196-3|117404172382|서울특별시 강동구 천호대로170길|16||1174010800101960003006605|영재빌딩|서울특별시 강동구 천호대로170길 16|134030|05381||2||127.1330102845|37.5346237645501
25278923|씨||D|소매|D05|의복의류|D05A03|여성의류전문점|||11|서울특별시|11230|동대문구|1123066000|장안2동|1123010600|장안동|1123010600203680001|1|대지|368|1|서울특별시 동대문구 장안동 368-1|112303005025|서울특별시 동대문구 답십리로|288||1123010600103680001016701|바우하우스|서울특별시 동대문구 답십리로 288|130100|02637||4||127.072364380402|37.5719169507645
25276687|노비타||D|소매|D07|가정/주방/인테리어|D07A05|정수기연수기|G47320|가전제품 소매업|11|서울특별시|11620|관악구|1162061500|중앙동|1162010100|봉천동|1162010100200410846|1|대지|41|846|서울특별시 관악구 봉천동 41-846|116203120009|서울특별시 관악구 은천로|162||1162010100100410846025785||서울특별시 관악구 은천로 162|151050|08744||1||126.953184017136|37.4860237953075
25490778|아띠무용아카데미||R|학문/교육|R05|학원-음악미술무용|R05A05|학원-무용|P85620|예술 학원|11|서울특별시|11290|성북구|1129058000|돈암1동|1129010300|돈암동|1129010300200020002|1|대지|2|2|서울특별시 성북구 돈암동 2-2|112904121638|서울특별시 성북구 정릉로52길|22||1129010300100020002042645|신우프라자|서울특별시 성북구 정릉로52길 22|136060|02801||2||127.029196132762|37.6035568348617
25507398|앤드류앤레슬리||D|소매|D05|의복의류|D05A09|남성의류전문점|||11|서울특별시|11560|영등포구|1156054000|여의동|1156011000|여의도동|1156011000200020006|1|대지|2|6|서울특별시 영등포구 여의도동 2-6|115602118002|서울특별시 영등포구 의사당대로|101||1156011000100020006000001|여의도역|서울특별시 영등포구 의사당대로 101|150010|07327||1||126.923948554327|37.5218931054506
25311212|명진유통||D|소매|D25|기타판매업|D25A23|통신판매|G47911|전자상거래업|11|서울특별시|11545|금천구|1154562000|독산2동|1154510200|독산동|1154510200203760024|1|대지|376|24|서울특별시 금천구 독산동 376-24|115454151139|서울특별시 금천구 독산로68가길|39||1154510200103760024010340||서울특별시 금천구 독산로68가길 39|153010|08560||1||126.907792303867|37.4668710446037
25332789|야구용품점||D|소매|D14|운동/경기용품소매|D14A01|운동/경기용품|G47631|운동 및 경기용품 소매업|11|서울특별시|11230|동대문구|1123070500|청량리동|1123010700|청량리동|1123010700200020005|1|대지|2|5|서울특별시 동대문구 청량리동 2-5|112303105008|서울특별시 동대문구 왕산로|295|3|1123010700100180004013426||서울특별시 동대문구 왕산로 295-3|130866|02462||1||127.052070393625|37.5868121959371
